indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2004-04-01,102.5674302511826,95.41911179164116,98.0164894780777,,-0.0241156572926387,0.00723866239949686
2004-05-01,109.87750394051662,96.68459735082087,98.74562344889667,,0.013262390892330415,0.007438890891741608
2004-06-01,105.66240620209851,98.54807871122486,99.49952060339137,,0.019273818286095264,0.007634739932396855
2004-07-01,101.1069972900212,100.78634945024979,100.27740603894416,,0.022712474644825134,0.007817981743384052
2004-08-01,98.35573694243757,102.14437224539472,101.07693298122558,,0.01347427307916618,0.007973151419282943
2004-09-01,98.08637453469638,102.37232290407265,101.89015116159185,,0.0022316516678012022,0.008045536764726791
2004-10-01,97.8356659809799,103.14566464521039,102.70758028085562,,0.007554207223200251,0.008022650962283535
2004-11-01,100.1319466812214,103.6635526098423,103.51199153052733,,0.005020937781663264,0.007832053364240608
2004-12-01,101.67895479099535,102.78140321846145,104.29007405233679,,-0.008509735284695381,0.007516834622778959
2005-01-01,98.473359529179,105.7591414185077,105.0307360851981,0.05685713577561186,0.028971565933158843,0.007101941767627977
2005-02-01,96.11886613343405,106.08114384763675,105.72808759205405,0.0592636581191074,0.003044677035102268,0.006639499377499192
2005-03-01,110.65642586719524,106.65916885997822,106.38135203091741,0.07757619661866871,0.005448894981483932,0.006178721792301331
2005-04-01,116.54519048214907,108.57482395222304,106.99656512281831,0.12277364026588043,0.01796052897017873,0.005783091492596526
2005-05-01,126.66194335502726,108.93177238900977,107.58372611514605,0.13761794769050456,0.003287580157107044,0.005487662072644497
2005-06-01,116.50222321492875,108.43867279732876,108.15438054951467,0.09242266254831628,-0.004526682903130137,0.005304282115659902
2005-07-01,107.58113926245956,109.07943123955106,108.72121281315829,0.05768700972099492,0.005908947663163105,0.0052409552046216844
2005-08-01,105.82089279310111,109.32821812642649,109.2960700911625,0.06837797001271421,0.0022807864328618166,0.00528744357361191
2005-09-01,104.89213472672316,109.27482962838582,109.89137123143678,0.06250934971751422,-0.0004883322801340739,0.005446683854028151
2005-10-01,104.46066538498441,109.90268209830005,110.51518992388583,0.06100503197572058,0.005745627534258233,0.005676684943126702
2005-11-01,108.00375438454834,111.19570209052051,111.17581167688174,0.07082373694604173,0.011765135914189529,0.0059776556820008864
2005-12-01,110.50332389924424,112.99433253370476,111.87715725702748,0.07818611133291795,0.01617535938322547,0.006308436786448795
2006-01-01,106.53094787692405,113.86138069351176,112.61778396013685,0.07371626840273623,0.007673377419600911,0.006619999303413238
2006-02-01,104.0901370432872,114.81698214939338,113.39408171046317,0.0747129614912706,0.008392674057359955,0.006893207476015561
2006-03-01,118.58827645043104,114.26672311690491,114.20123163839277,0.06457656010708811,-0.0047924882032913275,0.00711809572205496
2006-04-01,122.08710730131627,115.98520814756928,115.03453326903636,0.042839329829490555,0.015039243130357392,0.007296783219310328
2006-05-01,133.37101567477424,114.9083746014614,115.88961604418328,0.04771922123544023,-0.009284231699078447,0.007433270261088438
